YEAR,GDP per capita (current US$),"Electricity production from renewable sources, excluding hydroelectric (kWh)",Access to electricity (% of population),Total greenhouse gas emissions (kt of CO2 equivalent),"Population, total",Current health expenditure per capita (current US$),"Government expenditure on education, total (% of GDP)","Inflation, consumer prices (annual %)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)"
1971,451.6940089,163000000,,,298284475,,,,
1972,497.2401269,165000000,,,306359650,,,,
1973,617.1676756,170000000,,,314761504,,,,
1974,784.227147,175000000,,,323500333,,,19.59839357,
1975,844.4097781,172000000,,,332583481,,,15.22409894,
1976,895.0269631,185000000,,,342018937,,,11.21647132,
1977,951.5206607,189000000,,,351808760,,,14.23805549,
1978,1020.546693,195000000,,,361939456,,,12.52689251,
1979,1194.463491,201000000,,,372404237,,,15.06984982,
1980,1469.461143,207000000,,,383188215,,,15.06651154,
1981,2061.989177,217000000,,,394281992,,,23.26080191,
1982,1830.515996,237000000,,,405688898,,,24.1996829,
1983,1520.799631,231000000,,,417425712,,,22.23946114,
1984,1283.386454,234000000,,,429521914,,,22.23386257,
1985,1169.432858,269000000,,,441988004,,4.090219975,20.3614922,
1986,1147.601462,659000000,,,454835677,,,19.84293665,
1987,1250.8634,658000000,,,468053103,,,12.81223178,
1988,1271.353196,626000000,,,481594337,,,15.04591324,
1989,1245.285618,617000000,,,495407422,,,13.42748909,
1990,1425.927736,732000000,,1205320,509451875,,,13.51527537,
1991,1430.827072,738000000,,1245879.997,523726960,,,19.41998812,130.0586102
1992,1286.966597,730000000,,1273219.998,538246439,,,16.10461339,129.8655951
1993,1159.665994,715000000,31.69309718,1285700.014,553020385,,,13.68911649,129.7415541
1994,1084.387641,600000000,32.71473773,1363309.983,568072070,,,46.69383183,129.6220371
1995,1234.124778,745000000,33.70368431,1399469.993,583413287,,,22.85187993,129.5563793
1996,1271.53052,854000000,32.74815806,1444159.971,599067774,,,14.62082605,129.4977649
1997,1281.124602,940000000,32.55254036,1469780.023,615054341,,,14.24674044,129.3995468
1998,1216.671353,1146000000,33.54269046,1505609.988,631400703,,,11.96638145,129.3405816
1999,1204.320483,1079000000,34.89947747,1488130,648148338,,6.981504917,8.192130947,129.1406088
2000,1238.636796,1361000000,53.96196989,1515389.996,665327588,64.55804077,6.334130049,11.13226032,129.0757064
2001,1172.887214,1460000000,55.16703011,1557540.002,682956023,59.9730157,6.998719931,10.20188312,129.080018
2002,1259.600668,1298000000,57.28777898,1593789.982,701066197,58.07873283,2.59414494,11.95244697,128.9647231
2003,1526.629901,1690000000,62.35054633,1667500.002,719716165,85.61891211,2.751250029,9.210604241,129.0998251
2004,1848.182679,2064000000,61.32787827,1716289.983,738983247,102.2205622,6.426060081,5.717756992,129.4436548
2005,2146.187642,2043000000,61.33445112,1766230.014,758924664,114.6711755,6.54580009,14.18967154,129.5333926
2006,2489.616417,2799000000,64.60009722,1760769.998,779566846,128.0899164,6.347890019,13.31406364,129.4807491
2007,2813.576549,2226000000,67.55529661,1817819.995,800908567,141.7531291,2.946390033,12.05814249,129.3991488
2008,3149.469445,2442000000,67.6788371,1890890.026,822945490,152.7171734,6.568115115,21.01636619,129.3639484
2009,2912.018193,2676000000,67.99841749,1864590.004,845655209,150.5268129,6.674650192,12.2366584,128.7183996
2010,3347.243448,2914000000,69.35699509,1963590.015,869025115,169.1282403,7.57468009,7.322382121,127.711815
2011,3672.594272,2981000000,75.00130081,1986760.033,893045863,186.9475924,7.135060072,12.98990549,127.4994787
2012,3742.4197,3254000000,76.01235776,2010270.01,917725880,184.2235831,7.549405098,13.73708179,126.1397374
2013,3906.400177,3891000000,78.84247616,2061389.966,943039474,189.9745578,7.651444912,8.190182095,125.0618082
2014,3949.156314,7920000000,79.60034957,2109329.986,968958352,186.3457614,7.754069924,7.12834157,124.6327904
2015,3450.638585,11206000000,80.63820483,2118020,995458498,172.3062807,7.930220246,7.380438925,124.6095589
2016,3120.377305,,89.83365991,2167420.023,1022530245,158.3882279,7.602454305,8.065960086,123.8712586
2017,3242.894751,,89.12254881,2191950.028,1050162810,163.379507,8.393310785,8.163978367,123.4684549
2018,3245.16736,,94.32158859,2220470.027,1078319512,155.6182897,7.964854956,6.504861337,123.33463
2019,3289.162081,,95.56105347,2261020.002,1106957870,153.3085892,7.86988318,5.878811046,123.1339858
2020,3070.642774,,97.91508623,,1136046775,,7.782055378,7.897336406,119.3532856
2021,3332.6439,,,,1165563987,,,11.16658049,119.8096509
